date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 16:32:09,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:33:12,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:33:12,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:36:29,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:37:07,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 16:37:07,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:37:25,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:37:39,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:38:52,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:44:28,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:44:28,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:51:06,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 16:52:07,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 16:52:20,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:04:13,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:05:02,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 17:12:44,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:16:49,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:17:50,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:17:56,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 17:19:53,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:20:09,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:22:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:23:09,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:23:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:25:46,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:26:11,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:30:48,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:30:48,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:31:21,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:35:15,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 17:37:14,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:38:35,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:38:46,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 17:43:38,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:43:39,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:43:47,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:43:47,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 17:44:42,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:45:28,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:46:38,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:46:38,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 17:48:53,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:53:43,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 17:56:46,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 17:56:57,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 18:00:50,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:00:57,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:02:23,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:03:15,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:04:24,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 18:04:59,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:05:17,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:12:41,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 18:12:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 18:12:56,view,android,121288,CPM,187.4
